"가격","제조사","종류","주행거리","변속기","연료형태","색상","사고여부","연식개월","차주변경"
1299,"기아","중형차",70000,"오토","가솔린","흰색","Y",105,3
250,"현대","중형차",123492,"오토","가솔린","은색","N",175,4
790,"현대","중형차",175965,"오토","LPG","흰색","N",90,1
720,"기아","중형차",109443,"오토","가솔린","흰색","N",135,3
2230,"현대","중형차",36800,"오토","가솔린","검정색","N",39,2
3149,"기아","중형차",18060,"오토","가솔린","쥐색","N",28,1
460,"현대","중형차",111782,"오토","가솔린","흰색","Y",141,4
299,"현대","중형차",168983,"오토","LPG","검정색","Y",161,10
650,"기아","중형차",118861,"오토","가솔린","흰색","N",142,4
670,"현대","중형차",133820,"오토","가솔린","흰색","N",80,3
350,"현대","중형차",85969,"오토","가솔린","은색","N",198,1
990,"현대","중형차",181051,"오토","가솔린","명은색","N",94,2
850,"기아","중형차",87453,"오토","가솔린","흰색","N",113,5
990,"기아","중형차",130000,"오토","가솔린","은색","N",97,7
855,"기아","중형차",133840,"오토","LPG","흰색","N",107,5
450,"현대","중형차",148951,"오토","가솔린","쥐색","N",138,6
440,"현대","중형차",160000,"오토","LPG","은색","N",169,4
590,"현대","중형차",75000,"오토","가솔린","검정색","Y",152,5
380,"현대","중형차",148348,"오토","가솔린","은색","Y",144,1
590,"기아","중형차",163348,"오토","가솔린","은색","N",133,3
850,"기아","중형차",124533,"오토","가솔린","은색","N",97,1
452,"현대","중형차",189867,"오토","가솔린","검정색","N",140,7
1530,"현대","중형차",93000,"오토","가솔린","진주색","N",85,2
1699,"현대","중형차",98074,"오토","가솔린","검정색","N",42,2
690,"기아","중형차",97957,"오토","가솔린","은색","N",136,2
550,"현대","중형차",105543,"오토","가솔린","쥐색","N",136,0
1140,"기아","중형차",94380,"오토","LPG","진주색","N",65,2
875,"현대","중형차",129755,"오토","가솔린","검정색","Y",74,2
2030,"현대","중형차",49220,"오토","가솔린","쥐색","N",44,1
1910,"현대","중형차",35602,"오토","가솔린","검정색","N",42,1
480,"기아","중형차",165284,"오토","가솔린","쥐색","N",139,1
970,"현대","중형차",92443,"오토","가솔린","검정색","N",92,7
240,"현대","중형차",189003,"오토","LPG","흰색","N",201,4
850,"현대","중형차",126782,"오토","가솔린","흰색","Y",107,7
860,"기아","중형차",133053,"오토","LPG","은색","N",52,3
1390,"현대","중형차",91793,"오토","LPG","쥐색","N",58,2
1470,"현대","중형차",81362,"오토","LPG","쥐색","N",59,2
2050,"기아","중형차",22546,"오토","가솔린","검정색","N",42,1
499,"현대","중형차",115600,"오토","가솔린","흰색","N",134,11
880,"기아","중형차",156742,"오토","LPG","은색","N",40,1
1100,"현대","중형차",92677,"오토","LPG","은색","N",41,2
799,"기아","중형차",109765,"오토","가솔린","진주색","Y",85,1
230,"현대","중형차",262854,"오토","LPG","검정색","N",179,2
890,"기아","중형차",72078,"오토","가솔린","검정색","Y",105,1
2190,"현대","중형차",53425,"오토","LPG","금색","N",38,3
529,"기아","중형차",174769,"오토","가솔린","검정색","Y",145,3
1070,"현대","중형차",133040,"오토","LPG","흰색","N",92,6
1430,"기아","중형차",87553,"오토","가솔린","흰색","N",66,1
720,"현대","중형차",109000,"오토","가솔린","흰색","N",128,2
650,"현대","중형차",105845,"오토","가솔린","검정색","N",152,1
1280,"기아","중형차",133473,"오토","LPG","쥐색","N",64,1
1799,"현대","중형차",3163,"오토","가솔린","흰색","N",69,1
650,"기아","중형차",153580,"오토","LPG","은색","N",88,1
1630,"현대","중형차",39892,"오토","가솔린","흰색","N",69,1
490,"현대","중형차",140846,"오토","가솔린","은회색","N",149,5
890,"현대","중형차",144927,"오토","LPG","은색","N",88,1
1090,"현대","중형차",135306,"오토","LPG","쥐색","N",50,1
300,"현대","중형차",93736,"오토","가솔린","은색","N",187,2
1729,"현대","중형차",75184,"오토","가솔린","검정색","N",43,2
990,"기아","중형차",124021,"오토","가솔린","검정색","N",54,1
850,"기아","중형차",142000,"오토","LPG","쥐색","Y",76,2
520,"현대","중형차",169602,"오토","LPG","쥐색","N",146,4
1860,"기아","중형차",52674,"오토","LPG","흰색","N",39,2
490,"기아","중형차",161755,"오토","가솔린","은회색","N",142,5
580,"현대","중형차",152695,"오토","가솔린","은색","N",142,6
1630,"현대","중형차",73206,"오토","LPG","흰색","N",53,1
1090,"현대","중형차",116375,"오토","LPG","은하색","N",80,1
