ymonth,nation,itemNm,imXprt,weight,dollar
202001,이탈리아,멸치,수입,1062.6,16260.0
202001,홍콩,멸치,수출,9.6,576.0
202001,라오스,멸치,수출,4.0,109.0
202001,몽고,멸치,수출,1.5,52.0
202001,카나다,멸치,수출,36.0,553.0
202001,알바니아,멸치,수입,344.35,8268.0
202001,일본,멸치,수입,0.2,3.0
202001,필리핀,멸치,수출,21.0,646.0
202001,미국,멸치,수출,357.5,6628.0
202001,미국,멸치,수입,0.498,11.0
202001,호주,멸치,수출,18.0,507.0
202001,싱가포르,멸치,수출,4.5,157.0
202001,말레이시아,멸치,수출,6.0,253.0
202001,북마나리아나군도,멸치,수출,17.0,344.0
202001,스페인,멸치,수입,2632.67,42769.0
202001,홍콩,전복,수입,2.465,63.0
202001,일본,전복,수출,10.8,511.0
202001,호주,전복,수입,357.0,32495.0
202001,프랑스,전복,수입,54.0,2902.0
202001,인도네시아,전복,수입,13999.0,283169.0
202001,필리핀,전복,수입,44904.0,1033716.0
202001,미국,전복,수출,394.1,14068.0
202001,중국,전복,수출,1.2,2909.0
202001,중국,전복,수입,260.0,1269.0
202001,말레이시아,전복,수입,2400.0,24048.0
202001,남아프리카,,수입,1.0,20.0
202001,인도네시아,,수입,10935.0,121475.0
202001,에쿠아도르,,수입,18955.2,146065.0
202001,베트남,,수입,1100.0,5824.0
202001,미국,,수출,2047.6,49870.0
202001,중국,,수입,4500.0,37150.0
202001,이탈리아,전갱이,수입,108.0,1536.0
202001,홍콩,전갱이,수출,90.0,1760.0
202001,태국,전갱이,수입,324.0,2010.0
202001,베트남,전갱이,수출,380.0,378.0
202001,베트남,전갱이,수입,832.0,4839.0
202001,필리핀,전갱이,수출,50.88,861.0
202001,미국,전갱이,수출,151.2,1546.0
202001,미국,전갱이,수입,22.19,309.0
202001,호주,전갱이,수출,181.0,3832.0
202001,싱가포르,전갱이,수출,1.44,34.0
202001,말레이시아,전갱이,수출,84.0,1643.0
202001,스페인,전갱이,수입,27.3,1511.0
202001,인도네시아,달팽이,수입,9600.0,34055.0
202001,괌,달팽이,수출,48.0,273.0
202001,프랑스,달팽이,수입,120.0,4337.0
202001,베트남,달팽이,수입,948.0,96.0
202001,헝가리,달팽이,수입,110.592,4145.0
202001,중국,달팽이,수입,16800.0,42520.0
202001,사우디아라비아,골뱅이,수출,480.0,5930.0
202001,이탈리아,골뱅이,수출,480.0,5500.0
202001,오만,골뱅이,수출,2169.6,28004.0
202001,홍콩,골뱅이,수출,48.0,575.0
202001,아르헨티나,골뱅이,수출,192.0,2290.0
202001,카나다,골뱅이,수출,1152.0,13607.0
202001,방글라데시,골뱅이,수출,96.0,1131.0
202001,인도네시아,골뱅이,수출,288.0,3895.0
202001,베트남,골뱅이,수출,319.2,4790.0
202001,알바니아,골뱅이,수출,4.35,152.0
202001,일본,골뱅이,수출,960.0,12271.0
202001,필리핀,골뱅이,수출,213.2,2801.0
202001,미국,골뱅이,수출,11952.0,126597.0
202001,호주,골뱅이,수출,1339.2,14469.0
202001,말레이시아,골뱅이,수출,457.6,3769.0
202001,칠레,골뱅이,수출,48.0,569.0
202001,아일랜드,골뱅이,수입,130020.0,1630865.0
202001,태국,골뱅이,수출,1000.0,5126.0
202001,중국,골뱅이,수입,24010.0,77002.0
202001,영국,골뱅이,수입,261295.0,3046696.0
202001,카나다,클램,수입,567.6,13339.0
202001,베트남,클램,수입,8000.0,17368.0
202001,미국,클램,수출,300.0,4899.0
202001,미국,클램,수입,6.647,88.0
202001,중국,클램,수출,3774.0,6418.0
202001,중국,클램,수입,10760.0,50248.0
202001,캄보디아,굴치패,수출,200.0,1790.0
202001,홍콩,굴치패,수출,12970.0,88003.0
202001,대만,굴치패,수출,100.0,550.0
202001,러시아,굴치패,수출,500.0,5680.0
