선수명,팀명,경기,타석,타수,안타,홈런,득점,타점,볼넷,삼진,도루,BABIP,타율,출루율,장타율,OPS,wOBA,WAR
전병우,Hero,115,261,214,40,6,35,31,33,84,3,0.272,0.187,0.319,0.308,0.627,0.305,0.1
이병규,롯데,29,43,34,8,0,4,4,8,14,0,0.400,0.235,0.395,0.235,0.63,0.333,0.09
박준태,Hero,27,58,46,9,0,10,4,10,16,1,0.300,0.196,0.362,0.261,0.623,0.321,0.09
최정민,KIA,39,19,15,5,0,5,1,3,7,2,0.625,0.333,0.474,0.333,0.807,0.406,0.08
김용의,LG,102,42,27,4,0,19,2,10,5,6,0.174,0.148,0.368,0.222,0.59,0.318,0.07
김주성,LG,3,7,6,1,1,1,1,1,3,0,0.000,0.167,0.286,0.667,0.953,0.391,0.06
박승욱,KT,8,6,6,2,0,5,0,0,1,1,0.400,0.333,0.333,0.5,0.833,0.363,0.05
오윤석,롯데,33,76,69,16,2,9,5,7,21,2,0.304,0.232,0.303,0.42,0.723,0.318,0.04
신성현,두산,11,15,11,2,0,3,0,3,6,0,0.400,0.182,0.4,0.182,0.582,0.33,0.04
최인호,한화,49,164,136,28,4,17,23,24,43,2,0.264,0.206,0.329,0.338,0.667,0.318,0.03
정보근,롯데,11,20,18,5,0,0,0,2,2,0,0.313,0.278,0.35,0.278,0.628,0.307,0.02
김찬형,SSG,71,135,110,22,2,18,6,14,27,0,0.247,0.2,0.307,0.309,0.616,0.296,0.02
백용환,KIA,3,7,5,0,0,0,0,2,2,0,0.000,0.0,0.286,0.0,0.286,0.221,0.02
장두성,롯데,43,41,36,8,0,12,4,5,12,4,0.333,0.222,0.317,0.333,0.65,0.306,0.01
김준태,KT,11,18,17,2,0,0,0,1,5,0,0.167,0.118,0.167,0.118,0.285,0.145,0.01
이상호,LG,45,68,65,20,0,5,12,1,10,2,0.364,0.308,0.318,0.338,0.656,0.3,-0.01
김은성,Hero,6,18,18,5,0,1,2,0,6,0,0.417,0.278,0.278,0.444,0.722,0.312,-0.01
김태진,KIA,99,414,381,105,1,43,36,23,64,8,0.325,0.276,0.314,0.341,0.655,0.299,-0.01
김석환,KIA,5,20,19,5,1,1,3,0,7,0,0.364,0.263,0.3,0.421,0.721,0.321,-0.01
안상현,SSG,37,40,39,10,1,9,4,1,15,3,0.391,0.256,0.275,0.385,0.66,0.292,-0.01
김재현,Hero,39,51,46,10,0,2,8,3,12,0,0.294,0.217,0.265,0.37,0.635,0.284,-0.01
박경수,KT,118,280,239,46,9,24,33,34,76,0,0.240,0.192,0.301,0.347,0.648,0.3,-0.01
이명기,Hero,3,8,6,1,0,0,1,2,3,0,0.333,0.167,0.375,0.167,0.542,0.308,-0.01
김상수,삼성,132,496,429,101,3,46,42,52,51,4,0.259,0.235,0.32,0.301,0.621,0.297,-0.02
김민하,한화,46,142,115,24,1,14,17,17,36,6,0.288,0.209,0.345,0.287,0.632,0.314,-0.03
강경학,KIA,13,13,11,2,0,2,1,1,3,0,0.250,0.182,0.308,0.182,0.49,0.262,-0.03
김준완,NC,13,14,12,2,0,3,1,2,0,0,0.167,0.167,0.286,0.333,0.619,0.287,-0.03
고명성,KT,7,1,1,0,0,1,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
서예일,두산,5,1,1,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
권정웅,삼성,2,1,1,0,0,0,0,0,0,0,0.000,0.0,0.0,0.0,0.0,0.0,-0.03
황경태,두산,1,1,1,0,0,0,0,0,1,0,-,0.0,0.0,0.0,0.0,0.0,-0.03
나원탁,롯데,1,1,1,0,0,0,0,0,1,0,-,0.0,0.0,0.0,0.0,0.0,-0.03
