"date","aptName","dong","household","floorAreaRate","numParkinglot","exclusiveArea","floor","price"
2020-06-06,"역삼럭키","도곡동",1094,248,1077,84.97,15,16
2020-06-06,"도곡쌍용예가","도곡동",384,298,418,107.53,10,18.7
2020-06-06,"양재SK허브프리모","도곡동",176,629,261,69.18,11,8.5
2020-06-06,"도곡렉슬","도곡동",3002,274,4443,84.9984,11,23.1
2020-06-06,"도곡렉슬","도곡동",3002,274,4443,59.9818,9,18.25
2020-06-06,"역삼우성","도곡동",390,185,468,84.83,13,14.5
2020-06-07,"역삼엔스위트","역삼동",24,0,34,107.3,5,9.25
2020-06-07,"래미안블레스티지","개포동",1957,249,3153,84.94,29,25.1
2020-06-07,"삼성힐스테이트1단지","삼성동",1144,276,1529,84.236,3,20.7
2020-06-07,"로체샤르캐슬","논현동",17,199,28,105.99,6,10.55
2020-06-07,"래미안강남힐즈","자곡동",1020,159,1554,91.96,2,14.38
2020-06-07,"한솔마을","일원동",570,108,1140,84.73,3,16.1
2020-06-07,"까치마을","수서동",1404,208,1410,39.6,9,8.95
2020-06-07,"까치마을","수서동",1404,208,1410,49.5,10,11.4
2020-06-07,"도곡삼성래미안","도곡동",732,291,1122,89.88,10,19.75
2020-06-07,"극동스타클래스","도곡동",96,629,142,111.38,7,12.5
2020-06-08,"역삼IPARK","역삼동",541,273,914,131.38,13,25
2020-06-08,"래미안펜타빌","역삼동",288,273,665,157.37,16,28.5
2020-06-08,"우성3차","개포동",405,179,450,161,5,26.85
2020-06-08,"래미안블레스티지","개포동",1957,249,3153,59.967,13,18.9
2020-06-08,"신동아","청담동",106,285,96,84.94,4,19
2020-06-08,"삼성롯데","삼성동",339,337,418,59.4,6,13.95
2020-06-08,"삼성힐스테이트2단지","삼성동",926,273,1291,84.349,4,22.5
2020-06-08,"래미안삼성1차(501~504동)","삼성동",112,213,240,122.85,2,21.5
2020-06-08,"삼성한일","삼성동",127,285,137,80.29,1,14.5
2020-06-08,"푸른솔","삼성동",61,291,61,84.9,9,16.25
2020-06-08,"대치삼성1차","대치동",960,261,1259,97.35,11,23.9
2020-06-08,"대치대우아이빌멤버스4차","대치동",134,634,134,35.796,7,3.65
2020-06-08,"한보미도맨션1,2차","대치동",2436,179,2906,126.33,6,27.3
2020-06-08,"개포우성1차","대치동",690,178,828,127.61,14,32.2
2020-06-08,"개포우성2차","대치동",450,0,540,159.6,8,37.9
2020-06-08,"한양수자인어반게이트(도시형)","논현동",108,249,37,16.2,3,2.18
2020-06-08,"미성2차","압구정동",911,0,1093,74.4,13,19.2
2020-06-08,"현대10차","압구정동",144,228,187,151.93,6,34.5
2020-06-08,"우성7차","일원동",802,157,641,68.39,9,16
2020-06-08,"까치마을","수서동",1404,208,1410,34.44,10,8
2020-06-08,"신동아","수서동",1162,203,325,33.18,12,8.7
2020-06-08,"까치마을","수서동",1404,208,1410,49.5,7,11.38
2020-06-08,"타워팰리스2차","도곡동",813,923,2376,244.77,54,48
2020-06-08,"도곡렉슬","도곡동",3002,274,4443,84.9984,4,23.5
2020-06-08,"타워팰리스2차","도곡동",813,923,2376,164.2,55,30
2020-06-09,"역삼푸르지오","역삼동",738,283,753,59.8848,14,16.25
2020-06-09,"래미안그레이튼2차","역삼동",464,266,626,84.87,18,21.5
2020-06-09,"쌍용플래티넘밸류","역삼동",166,640,166,84.96,8,11.85
2020-06-09,"쌍용플래티넘밸류","역삼동",166,640,166,116.67,4,12.9
2020-06-09,"역삼IPARK","역삼동",541,273,914,28.246,9,7.8
2020-06-09,"역삼IPARK","역삼동",541,273,914,28.246,13,7.97
2020-06-09,"경남","개포동",678,174,816,96.98,9,20
2020-06-09,"개포주공5단지","개포동",940,151,912,74.25,2,18.5
2020-06-09,"우성8차","개포동",261,192,138,78.93,7,9.1
2020-06-09,"우성3차","개포동",405,179,450,161,6,27
2020-06-09,"풍림1차","삼성동",252,366,285,84.78,16,19
2020-06-09,"삼성힐스테이트1단지","삼성동",1144,276,1529,84.236,3,20.45
2020-06-09,"한보미도맨션1,2차","대치동",2436,179,2906,126.33,12,28.5
2020-06-09,"래미안대치팰리스1단지","대치동",1278,258,2478,94.49,2,30.5
2020-06-09,"래미안대치팰리스2단지","대치동",330,258,601,94.49,2,30.5
2020-06-09,"동부센트레빌","대치동",805,297,1824,121.74,6,34
2020-06-09,"한보미도맨션1,2차","대치동",2436,179,2906,84.96,5,22.7
2020-06-09,"한보미도맨션1,2차","대치동",2436,179,2906,126.33,6,28
2020-06-09,"논현신동아파밀리에","논현동",644,245,684,35.73,2,7.9999
2020-06-09,"강남데시앙파크","세곡동",546,169,850,84.95,7,11.5
2020-06-09,"래미안강남힐즈","자곡동",1020,159,1554,91.96,8,15.25
2020-06-09,"우성7차","일원동",802,157,641,83.69,14,18.3
2020-06-09,"까치마을","수서동",1404,208,1410,39.6,2,8.5
2020-06-09,"대림아크로빌","도곡동",490,936,1662,172.467,15,21.3
2020-06-10,"한화진넥스빌","역삼동",294,1045,213,39.2,21,3.5
2020-06-10,"역삼래미안","역삼동",1050,276,1066,59.73,5,17.1
2020-06-10,"로얄팰리스","역삼동",15,287,28,105.16,1,9
2020-06-10,"로얄빌리지","역삼동",19,292,26,103.49,4,8.5
2020-06-10,"개포주공6단지","개포동",1060,0,300,60.13,8,17.15
2020-06-10,"개포주공7단지","개포동",900,0,400,60.13,8,17.15
2020-06-10,"우찬현대(101)","개포동",15,242,23,100.5,5,7.75
2020-06-10,"리더스","개포동",10,259,11,83.62,3,6.5
2020-06-10,"진흥","청담동",375,178,375,109.31,10,21
2020-06-10,"청담스위트(도시형)","청담동",124,199,57,13.425,7,2.3
2020-06-10,"청담스위트(도시형)","청담동",124,199,57,13.425,6,2.5
2020-06-10,"선릉LG에클라트(B동)","삼성동",293,700,161,36.35,12,4
2020-06-10,"삼성힐스테이트1단지","삼성동",1144,276,1529,26.5,13,10.2
2020-06-10,"선릉LG에클라트(B동)","삼성동",293,700,161,56.68,14,8.3
2020-06-10,"개포우성2차","대치동",450,0,540,127.78,10,32.5
2020-06-10,"대치대우아이빌명문가","대치동",210,637,210,33.06,11,3.03
2020-06-10,"은마","대치동",4424,204,3021,76.79,5,19.5
2020-06-10,"은마","대치동",4424,204,3021,76.79,6,19.1
2020-06-10,"은마","대치동",4424,204,3021,84.43,5,21
2020-06-10,"논현신동아파밀리에","논현동",644,245,684,35.73,10,8.45
2020-06-10,"한양2차","압구정동",296,143,147,175.92,7,36.8
2020-06-10,"현대6,7차","압구정동",1288,210,1120,196.7,13,46.3
2020-06-10,"현대65동(대림아크로빌)","압구정동",56,240,89,196.7,13,46.3
2020-06-10,"한양3차","압구정동",312,198,156,116.94,8,26
2020-06-10,"상록수","일원동",740,109,962,74.54,1,16.35
2020-06-10,"푸른마을","일원동",930,249,930,84.93,3,15.5
2020-06-10,"포스코트","도곡동",64,295,204,209.03,13,25
2020-06-10,"도곡렉슬","도곡동",3002,274,4443,84.9231,3,24.3
2020-06-10,"도곡렉슬","도곡동",3002,274,4443,84.9984,16,24.9
2020-06-10,"도곡렉슬","도곡동",3002,274,4443,84.9984,23,23
2020-06-11,"역삼래미안","역삼동",1050,276,1066,59.4,20,16.7
2020-06-11,"역삼e-편한세상","역삼동",840,282,852,59.606,13,18
2020-06-11,"대청","개포동",822,0,700,39.53,3,10.5
2020-06-11,"대치2단지","개포동",1758,174,1758,39.53,3,10.5
2020-06-11,"현대1차","개포동",416,179,453,128.62,13,22
2020-06-11,"개포주공6단지","개포동",1060,0,300,73.02,3,18
2020-06-11,"개포주공7단지","개포동",900,0,400,73.02,3,18
2020-06-11,"청담e-편한세상1차","청담동",271,296,400,81.84,2,15.8
2020-06-11,"라테라스청담(도시형)","청담동",88,358,53,39.91,6,7.45
2020-06-11,"청담자이","청담동",708,266,905,89.115,35,31.5
2020-06-11,"삼성롯데","삼성동",339,337,418,59.4,20,14.3
2020-06-11,"영무예다음","삼성동",45,246,68,115.88,4,16.5
2020-06-11,"서광","삼성동",304,366,304,80.91,9,16.5
2020-06-11,"개포우성2차","대치동",450,0,540,127.78,9,35
2020-06-11,"은마","대치동",4424,204,3021,76.79,2,19
2020-06-11,"대치우성1차","대치동",476,179,498,115.59,14,23.15
2020-06-11,"현대6,7차","압구정동",1288,210,1120,144.2,12,36.7
2020-06-11,"현대65동(대림아크로빌)","압구정동",56,240,89,144.2,12,36.7
2020-06-11,"강남데시앙파크","세곡동",546,169,850,114.69,4,13.2
2020-06-11,"래미안개포루체하임","일원동",850,249,1301,59.99,12,17.3
2020-06-11,"까치마을","수서동",1404,208,1410,34.44,13,7.93
2020-06-11,"신동아","수서동",1162,203,325,49.96,2,10.4
2020-06-11,"삼익","수서동",645,224,650,49.2,5,11
2020-06-11,"현대그린","도곡동",171,304,156,84.93,1,14.5
2020-06-11,"도곡렉슬","도곡동",3002,274,4443,176.9924,10,43
2020-06-11,"현대비젼21","도곡동",232,990,291,34.995,18,3.6
2020-06-12,"휴먼터치빌","역삼동",160,477,127,25.92,8,2.4
2020-06-12,"강남역이스턴(도시형)","역삼동",98,687,31,15.25,10,1.95
2020-06-12,"역삼IPARK","역삼동",541,273,914,28.246,3,7.97
2020-06-12,"역삼e-편한세상","역삼동",840,282,852,59.606,8,17.2
2020-06-12,"대치우성1차","대치동",476,179,498,115.59,12,23.8
2020-06-12,"동부센트레빌","대치동",805,297,1824,121.74,18,34
2020-06-12,"거평프리젠","논현동",113,332,72,39.035,4,3.8
2020-06-12,"논현신동아파밀리에","논현동",644,245,684,35.73,1,7.9
2020-06-12,"영동한양1차","압구정동",936,211,561,78.05,10,22.3
2020-06-12,"세곡푸르지오","세곡동",912,174,1148,59.89,3,11.1
2020-06-12,"래미안강남힐즈","자곡동",1020,159,1554,91.95,5,14.95
2020-06-12,"수서한아름","수서동",498,249,996,163.68,5,18.85
2020-06-12,"강남데시앙포레","수서동",787,165,957,84.86,2,16.45
2020-06-12,"강남데시앙포레","수서동",787,165,957,59.81,3,12.97
2020-06-12,"신동아","수서동",1162,203,325,39.51,10,10.5
2020-06-12,"신동아","수서동",1162,203,325,33.18,15,8.6
2020-06-12,"개포우성4차","도곡동",459,149,0,126.46,9,25.5
2020-06-12,"양재SK허브프리모","도곡동",176,629,261,68.96,20,8.5
2020-06-12,"도곡렉슬","도곡동",3002,274,4443,134.9023,13,31
2020-06-12,"도곡렉슬","도곡동",3002,274,4443,84.9984,14,24.7
2020-06-12,"타워팰리스2차","도곡동",813,923,2376,164.99,13,30.9
2020-06-13,"역삼한스빌","역삼동",216,376,154,39.89,7,3.9
2020-06-13,"래미안그레이튼2차","역삼동",464,266,626,84.87,12,22
2020-06-13,"역삼푸르지오","역삼동",738,283,753,59.8848,20,17
2020-06-13,"대청","개포동",822,0,700,51.12,12,12
2020-06-13,"대치2단지","개포동",1758,174,1758,51.12,12,12
2020-06-13,"개포주공6단지","개포동",1060,0,300,83.7,3,19.5
2020-06-13,"개포주공7단지","개포동",900,0,400,83.7,3,19.5
2020-06-13,"대청","개포동",822,0,700,39.53,1,10
2020-06-13,"대치2단지","개포동",1758,174,1758,39.53,1,10
2020-06-13,"청담삼성1차","청담동",158,314,160,84.57,9,16.38
2020-06-13,"청담자이","청담동",708,266,905,82.365,16,26
2020-06-13,"현대2차","청담동",214,200,214,84.76,12,15.6
2020-06-13,"삼성롯데","삼성동",339,337,418,59.4,11,13.8
2020-06-13,"삼성힐스테이트1단지","삼성동",1144,276,1529,84.419,13,21
2020-06-13,"삼성힐스테이트2단지","삼성동",926,273,1291,84.349,12,23.45
2020-06-13,"풍림1차","삼성동",252,366,285,59.7,18,15
2020-06-13,"은마","대치동",4424,204,3021,76.79,5,19.1
2020-06-13,"래미안대치팰리스1단지","대치동",1278,258,2478,94.49,20,35
2020-06-13,"래미안대치팰리스2단지","대치동",330,258,601,94.49,20,35
2020-06-13,"래미안대치팰리스1단지","대치동",1278,258,2478,84.97,30,30
2020-06-13,"래미안대치팰리스2단지","대치동",330,258,601,84.97,30,30
